epoch,train_loss,train_bit_acc,val_loss,val_bit_accuracy,val_ber,val_tn,val_fp,val_fn,val_tp,val_precision,val_recall,val_f1
0,0.543652,0.720474,0.529476,0.725,0.275,4955,1458,2062,4325,0.747882,0.677157,0.710764
1,0.536087,0.724548,0.530087,0.727031,0.272969,4600,1813,1681,4706,0.72189,0.736809,0.729273
2,0.533173,0.725352,0.525427,0.727187,0.272813,4972,1441,2051,4336,0.750563,0.678879,0.712923
3,0.531101,0.72668,0.525325,0.726016,0.273984,4673,1740,1767,4620,0.726415,0.723344,0.724876
4,0.530901,0.727104,0.523066,0.728516,0.271484,4799,1614,1861,4526,0.737134,0.708627,0.722599
5,0.530116,0.727299,0.521684,0.729062,0.270938,4901,1512,1956,4431,0.745583,0.693753,0.718735
6,0.529198,0.727475,0.521824,0.729609,0.270391,4722,1691,1770,4617,0.731928,0.722875,0.727373
7,0.528486,0.728131,0.52304,0.729375,0.270625,4846,1567,1897,4490,0.741291,0.70299,0.721633
8,0.52883,0.727773,0.522756,0.729141,0.270859,4753,1660,1807,4580,0.733974,0.717082,0.72543
9,0.528061,0.728446,0.520426,0.728906,0.271094,4876,1537,1933,4454,0.743449,0.697354,0.719664
10,0.527453,0.72784,0.522662,0.728047,0.271953,4848,1565,1916,4471,0.740722,0.700016,0.719794
11,0.527539,0.728184,0.524726,0.728047,0.271953,4946,1467,2014,4373,0.748801,0.684672,0.715302
12,0.526412,0.72906,0.522322,0.726719,0.273281,4908,1505,1993,4394,0.744872,0.68796,0.715286
13,0.526752,0.728814,0.520984,0.728437,0.271563,4813,1600,1876,4511,0.738177,0.706278,0.721876
14,0.526111,0.729358,0.521774,0.727734,0.272266,4815,1598,1887,4500,0.737947,0.704556,0.720865
15,0.526289,0.728474,0.520415,0.727187,0.272813,4803,1610,1882,4505,0.736713,0.705339,0.720685
16,0.526199,0.728903,0.521172,0.726406,0.273594,4557,1856,1646,4741,0.71866,0.742289,0.730283
