experiment_id,alpha,bits,subband_order,image,psnr,ssim,mse,nonblind_ber,nonblind_bit_accuracy,blind_ber,blind_bit_accuracy,blind_exact,t_embed_ms,t_nonblind_ms,t_blind_ms,model_version
matrix-20260918-025538-98a873,0.005,8,LL,0801,48.0368,0.999378,1.021881,0.0,1.0,0.375,0.625,0,2.48,3.35,2.99,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0802,49.3033,0.998043,0.763397,0.0,1.0,0.75,0.25,0,2.18,3.33,2.67,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0803,47.3947,0.998287,1.184703,0.0,1.0,0.375,0.625,0,2.18,3.25,2.62,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0804,47.7314,0.999244,1.096329,0.0,1.0,0.875,0.125,0,2.18,3.34,2.61,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0805,47.5983,0.999,1.130437,0.0,1.0,0.25,0.75,0,2.17,3.26,2.64,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0806,48.4702,0.99797,0.924835,0.0,1.0,0.5,0.5,0,2.17,3.37,2.6,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0807,49.261,0.998314,0.770864,0.0,1.0,0.625,0.375,0,2.25,3.29,2.63,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0808,49.1936,0.997047,0.782928,0.0,1.0,0.375,0.625,0,2.1,3.3,2.6,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0809,48.0464,0.999031,1.019623,0.0,1.0,0.5,0.5,0,2.16,3.25,2.6,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0810,47.891,0.99848,1.056768,0.0,1.0,0.75,0.25,0,2.18,3.35,2.59,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0811,50.0044,0.998367,0.649597,0.0,1.0,0.625,0.375,0,2.21,3.24,2.64,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0812,48.1916,0.998305,0.986089,0.0,1.0,0.5,0.5,0,2.19,3.36,2.62,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0813,49.198,0.999065,0.78214,0.0,1.0,0.375,0.625,0,2.22,3.25,2.54,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0814,51.4733,0.998459,0.463181,0.0,1.0,0.25,0.75,0,2.19,3.25,2.66,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0815,49.5287,0.999014,0.724787,0.0,1.0,0.375,0.625,0,2.22,3.23,2.59,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
matrix-20260918-025538-98a873,0.005,8,LL,0816,47.987,0.998604,1.033671,0.0,1.0,0.625,0.375,0,2.18,3.27,2.59,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
