alpha,bits,subband_order,n_images,psnr_mean,psnr_std,ssim_mean,ssim_std,mse_mean,mse_std,nonblind_ber_mean,nonblind_ber_std,nonblind_bit_accuracy_mean,nonblind_bit_accuracy_std,blind_ber_mean,blind_ber_std,blind_bit_accuracy_mean,blind_bit_accuracy_std,t_embed_ms_mean,t_embed_ms_std,t_nonblind_ms_mean,t_nonblind_ms_std,t_blind_ms_mean,t_blind_ms_std,blind_exact_rate,blind_decoder
0.005,8,LL,100,48.9958,1.652,0.9986,0.0008,0.8702,0.2608,0.0063,0.037,0.9938,0.037,0.5212,0.1659,0.4788,0.1659,2.1743,0.0567,3.2788,0.0789,2.5748,0.0668,0.0,models/windowed_cnn_grid/8bit_a0.005/windowed_cnn_best.pt@e257e675d5b9
0.005,16,LL,100,49.0151,1.6062,0.9985,0.0011,0.8633,0.2508,0.0112,0.0511,0.9888,0.0511,0.43,0.1353,0.57,0.1353,2.1816,0.055,3.2894,0.0917,3.155,0.0908,0.0,models/windowed_cnn_grid/16bit_a0.005/windowed_cnn_best.pt@78c5d254bc88
0.005,32,LL,100,49.006,1.5618,0.9985,0.001,0.8622,0.2407,0.0131,0.0251,0.9869,0.0251,0.3969,0.0894,0.6031,0.0894,2.1799,0.14,3.2725,0.0809,3.5927,0.1778,0.0,models/windowed_cnn_grid/32bit_a0.005/windowed_cnn_best.pt@1c3ef3c96e36
0.005,64,LL,100,48.9704,1.5731,0.9985,0.0008,0.8704,0.2484,0.0302,0.0434,0.9698,0.0434,0.3555,0.0761,0.6445,0.0761,2.1786,0.0459,3.2844,0.0832,4.4829,0.0939,0.0,models/windowed_cnn_grid/64bit_a0.005/windowed_cnn_best.pt@639e33db8499
0.005,128,LL,100,48.9658,1.5831,0.9985,0.0009,0.8713,0.2449,0.1302,0.0621,0.8698,0.0621,0.3801,0.0578,0.6199,0.0578,2.1767,0.0457,3.2892,0.0792,6.259,0.0773,0.0,models/windowed_cnn_grid/128bit_a0.005/windowed_cnn_best.pt@69622428c2f8
0.005,256,LL+HL,100,48.9462,1.5586,0.9985,0.0009,0.874,0.2442,0.1297,0.0603,0.8703,0.0603,,,,,3.4849,0.0971,5.8623,0.1907,,,,
0.01,8,LL,100,45.6995,2.0493,0.9982,0.0013,1.9277,0.7909,0.0037,0.0277,0.9962,0.0277,0.47,0.1602,0.53,0.1602,2.1752,0.0492,3.2904,0.0874,2.5474,0.0554,0.01,models/windowed_cnn_grid/8bit_a0.010/windowed_cnn_best.pt@3ed281d175ee
0.01,16,LL,100,45.6545,2.0152,0.9978,0.0031,1.9435,0.8013,0.005,0.0228,0.995,0.0228,0.3981,0.1301,0.6019,0.1301,2.1779,0.05,3.2928,0.0773,3.1095,0.0592,0.0,models/windowed_cnn_grid/16bit_a0.010/windowed_cnn_best.pt@af79e2a17126
0.01,32,LL,100,45.6002,1.9922,0.9979,0.0024,1.9602,0.7647,0.0181,0.0307,0.9819,0.0307,0.3444,0.0837,0.6556,0.0837,2.1737,0.0435,3.2852,0.0815,3.5817,0.0697,0.0,models/windowed_cnn_grid/32bit_a0.010/windowed_cnn_best.pt@5fbf855c344d
0.01,64,LL,100,45.5591,2.0231,0.998,0.0015,1.9886,0.8271,0.0361,0.0348,0.9639,0.0348,0.2992,0.0617,0.7008,0.0617,2.1737,0.0441,3.2926,0.0874,4.4628,0.0801,0.0,models/windowed_cnn_grid/64bit_a0.010/windowed_cnn_best.pt@426cd6b889d9
