bit_index,accuracy,n
0,0.41,100
1,0.51,100
2,0.58,100
3,0.59,100
4,0.64,100
5,0.63,100
6,0.74,100
7,0.75,100
8,0.67,100
9,0.62,100
10,0.71,100
11,0.64,100
12,0.78,100
13,0.75,100
14,0.68,100
15,0.81,100
16,0.73,100
17,0.79,100
18,0.72,100
19,0.8,100
20,0.75,100
21,0.79,100
22,0.71,100
23,0.76,100
24,0.73,100
25,0.78,100
26,0.82,100
27,0.75,100
28,0.83,100
29,0.73,100
30,0.83,100
31,0.7,100
32,0.8,100
33,0.78,100
34,0.75,100
35,0.81,100
36,0.78,100
37,0.8,100
38,0.79,100
39,0.77,100
40,0.8,100
41,0.83,100
42,0.79,100
43,0.81,100
44,0.75,100
45,0.69,100
46,0.85,100
47,0.74,100
48,0.75,100
49,0.77,100
50,0.65,100
51,0.77,100
52,0.78,100
53,0.85,100
54,0.84,100
55,0.74,100
56,0.76,100
57,0.74,100
58,0.78,100
59,0.73,100
60,0.77,100
61,0.8,100
62,0.73,100
63,0.81,100
