attack,severity,params,n_images,psnr_attacked_mean,psnr_attacked_std,ssim_attacked_mean,ssim_attacked_std,blind_ber_mean,blind_ber_std,blind_bit_accuracy_mean,blind_bit_accuracy_std,nonblind_ber_mean,nonblind_ber_std,nonblind_bit_accuracy_mean,nonblind_bit_accuracy_std
identity,0.0,{},100,,,1.0,0.0,0.2539,0.0531,0.7461,0.0531,0.067,0.0448,0.933,0.0448
jpeg_compress,95.0,"{""quality"": 95}",100,36.2208,3.1216,0.9712,0.0169,0.2608,0.0574,0.7392,0.0574,0.0803,0.0484,0.9197,0.0484
jpeg_compress,90.0,"{""quality"": 90}",100,34.3264,2.7549,0.9589,0.0206,0.2747,0.0537,0.7253,0.0537,0.1023,0.0587,0.8977,0.0587
jpeg_compress,75.0,"{""quality"": 75}",100,31.395,2.5077,0.9309,0.0281,0.3223,0.0635,0.6777,0.0635,0.178,0.0679,0.822,0.0679
jpeg_compress,50.0,"{""quality"": 50}",100,29.387,2.3952,0.9006,0.0343,0.3645,0.0728,0.6355,0.0728,0.2489,0.0715,0.7511,0.0715
jpeg_compress,30.0,"{""quality"": 30}",100,27.9659,2.2745,0.8705,0.0394,0.3978,0.0674,0.6022,0.0674,0.302,0.0699,0.698,0.0699
gaussian_noise,1.0,"{""sigma"": 1}",100,47.826,0.1299,0.9949,0.0032,0.2589,0.056,0.7411,0.056,0.0708,0.0447,0.9292,0.0447
gaussian_noise,2.0,"{""sigma"": 2}",100,42.0758,0.146,0.9815,0.0114,0.2616,0.0583,0.7384,0.0583,0.0886,0.0551,0.9114,0.0551
gaussian_noise,5.0,"{""sigma"": 5}",100,34.2326,0.1854,0.9086,0.0514,0.3014,0.0698,0.6986,0.0698,0.1844,0.0811,0.8156,0.0811
gaussian_noise,10.0,"{""sigma"": 10}",100,28.2984,0.2407,0.7692,0.1041,0.3578,0.0674,0.6422,0.0674,0.3077,0.0849,0.6923,0.0849
salt_pepper,0.001,"{""density"": 0.001}",100,34.8532,0.5522,0.9824,0.005,0.3387,0.0692,0.6613,0.0692,0.2356,0.0858,0.7644,0.0858
salt_pepper,0.005,"{""density"": 0.005}",100,27.8338,0.4688,0.9167,0.0219,0.4037,0.0654,0.5962,0.0654,0.3667,0.0803,0.6333,0.0803
salt_pepper,0.01,"{""density"": 0.01}",100,24.8716,0.4635,0.8452,0.0393,0.4236,0.0621,0.5764,0.0621,0.4053,0.077,0.5947,0.077
salt_pepper,0.05,"{""density"": 0.05}",100,17.8457,0.4414,0.497,0.0954,0.4752,0.0563,0.5248,0.0563,0.4872,0.0666,0.5128,0.0666
gaussian_blur,3.0,"{""ksize"": 3}",100,29.4757,2.8532,0.9225,0.0322,0.4314,0.0621,0.5686,0.0621,0.4705,0.0639,0.5295,0.0639
gaussian_blur,5.0,"{""ksize"": 5}",100,26.932,2.7899,0.8594,0.057,0.4566,0.0572,0.5434,0.0572,0.4775,0.0644,0.5225,0.0644
median_filter,3.0,"{""ksize"": 3}",100,28.668,3.1818,0.8959,0.0485,0.4495,0.0726,0.5505,0.0726,0.4497,0.0631,0.5503,0.0631
median_filter,5.0,"{""ksize"": 5}",100,24.7954,3.032,0.7587,0.1074,0.48,0.0585,0.52,0.0585,0.4713,0.0649,0.5288,0.0649
resize_roundtrip,0.9,"{""scale"": 0.9}",100,31.0298,2.8421,0.9469,0.0217,0.4034,0.0626,0.5966,0.0626,0.4652,0.0637,0.5348,0.0637
resize_roundtrip,0.75,"{""scale"": 0.75}",100,29.5568,2.8347,0.9247,0.0307,0.4166,0.0645,0.5834,0.0645,0.4698,0.0635,0.5302,0.0635
resize_roundtrip,0.5,"{""scale"": 0.5}",100,26.7432,2.7953,0.854,0.0588,0.4428,0.0688,0.5572,0.0688,0.4769,0.0646,0.5231,0.0646
rotate,1.0,"{""degrees"": 1}",100,20.9489,2.9943,0.6319,0.1374,0.4841,0.0635,0.5159,0.0635,0.4633,0.0617,0.5367,0.0617
rotate,5.0,"{""degrees"": 5}",100,15.3905,2.5056,0.2885,0.1774,0.4947,0.063,0.5053,0.063,0.4873,0.0582,0.5127,0.0582
rotate,45.0,"{""degrees"": 45}",100,11.3435,2.3589,0.1766,0.1428,0.4945,0.0596,0.5055,0.0596,0.5048,0.0649,0.4952,0.0649
center_crop,0.95,"{""keep"": 0.95}",100,17.2016,4.0335,0.9171,0.0126,0.4577,0.0666,0.5423,0.0666,0.4675,0.079,0.5325,0.079
center_crop,0.9,"{""keep"": 0.9}",100,14.2147,4.0164,0.822,0.0172,0.4797,0.0721,0.5203,0.0721,0.4836,0.077,0.5164,0.077
center_crop,0.75,"{""keep"": 0.75}",100,10.6035,3.9187,0.5749,0.0325,0.5056,0.0662,0.4944,0.0662,0.4894,0.0679,0.5106,0.0679
